step,FTSC,SDQN Compressed Obs,SDQN Uncompressed Obs,CDQN Compressed Obs,CDQN Uncompressed Obs,,,98.09027778,565,97.22222222,560,99.30555556,572,99.30555556,572,65.79861111,379,46.70138889,269
24450,6.457974587,6.21627123,6.132473228,6.294624467,6.071109706,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
24475,6.517330183,6.145850478,6.275706,6.125231153,6.262212755,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
24500,6.529465739,6.06623169,6.077152998,6.26412401,6.05832308,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
24525,6.515633973,6.048610373,6.253520589,6.220000094,6.207541343,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
24550,6.276251633,6.056610602,6.223736078,6.113625605,6.125958902,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
24575,6.639863681,6.289799639,6.146776359,6.411642307,6.222107919,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
24600,6.415912804,6.07017518,6.166982876,6.325722439,6.195853857,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
24625,6.393008535,6.297549382,6.308780744,6.266073418,6.24987651,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
24650,6.561998479,6.22227316,6.335107927,6.146765428,6.210417341,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
24675,6.620086607,6.224684093,6.158136226,6.001111848,6.297576669,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24700,6.395971134,5.904445566,6.208411959,6.195750691,6.168154089,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
24725,6.431670077,6.050732718,6.031309943,6.175029275,6.114308278,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
24750,6.337640614,5.835484308,6.079925759,6.21198313,6.153652352,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
24775,6.503425638,5.931442064,6.181763619,6.111736781,6.158955561,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
24800,6.434651799,6.076986336,6.278922639,6.277589273,6.147779085,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
24825,6.483933521,6.241539583,6.266744106,6.413412779,6.069242949,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
24850,6.434746714,6.249454994,6.184968499,6.282600158,6.258113481,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
24875,6.306013344,5.946987517,5.868068925,6.102234613,6.27935857,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24900,6.50660075,6.165917056,6.187012875,6.34037787,6.269413621,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
24925,6.480607122,6.332182485,6.322961522,6.269532519,6.294534892,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
24950,6.595703044,6.212877425,6.265870103,6.09627843,6.195514862,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
24975,6.527563239,6.310704823,6.162822491,6.282847034,6.239149762,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
25000,6.509739693,6.107692574,6.008589952,6.338088198,6.187088991,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
25025,6.518997665,5.942197652,6.143178685,6.134019563,6.131979702,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
25050,6.821044168,6.002832292,6.329491478,6.163576298,6.223146036,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
25075,6.442706719,6.089136173,6.17437682,6.222378346,6.100550956,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
25100,6.42468941,5.91686405,5.895785044,6.127621462,6.177821714,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25125,6.520690213,6.162906455,5.961957402,6.033164015,6.264906468,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25150,6.884889337,6.213310759,6.312888089,6.244849323,6.322234201,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
25175,6.468858679,6.006600135,6.126616262,6.256099873,6.201655982,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
25200,6.332781781,5.941527819,6.077120903,6.183340656,6.231808717,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
25225,6.724653825,6.059622737,6.236608514,6.278824371,6.477902298,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
25250,6.63385933,6.033302127,6.258720532,6.286868673,6.137421367,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
25275,6.542797119,5.965371121,6.147103593,6.146238273,6.050115849,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
25300,6.615080554,6.076861699,6.166354929,6.017564933,6.1300312,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
25325,6.606528464,6.142220043,6.425700545,6.110025461,6.283997746,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
25350,6.597123495,6.172870731,6.295607944,6.108425676,6.151524997,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
