step,FTSC,SDQN Compressed Obs,SDQN Uncompressed Obs,CDQN Compressed Obs,CDQN Uncompressed Obs,,99.30555556,572,99.13194444,571,99.82638889,575,99.82638889,575,5.729166667,33,40.45138889,233
25775,73180,129410,109300,96750,99265,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
25800,74785,120285,106680,96700,94320,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
25825,74825,123980,108680,98000,93670,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
25850,74520,126885,113710,99930,96805,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
25875,75875,131190,114515,99675,99020,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
25900,75220,134310,115420,105875,100135,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
25925,74955,134155,115095,107055,105000,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
25950,74845,135035,117545,109315,106715,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
25975,75395,137940,120245,108255,112115,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
26000,76975,137750,114500,106725,112980,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
26025,76325,139705,118530,100725,113325,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
26050,77690,144905,125250,105225,118535,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
26075,81115,150410,127530,109730,117135,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
26100,83735,151930,127875,107500,117275,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
26125,86845,146995,130300,111060,112940,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
26150,87125,154020,138430,115400,115170,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
26175,88200,157470,137660,112690,117675,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
26200,87345,153220,129180,116505,122590,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
26225,89340,158850,132765,119225,125910,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
26250,91085,166110,138385,118010,126210,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
26275,92660,159355,136550,120670,128680,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
26300,91305,162470,141140,125360,133265,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
26325,91010,170045,146360,127810,132635,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
26350,92390,176355,146250,129480,130075,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
26375,92805,178325,148290,132450,127185,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
26400,94850,176660,151670,133720,127135,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
26425,96845,184310,156890,138975,129065,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
26450,96790,177605,151590,137660,136355,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
26475,98210,180920,157615,143330,136660,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
26500,99245,184515,161835,142900,135595,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
26525,100265,181050,163835,145865,131145,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
26550,102890,182925,164500,147415,133220,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
26575,102360,182555,165845,141490,138675,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
26600,102555,182665,169540,135565,130840,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
26625,103300,182940,173655,134835,128560,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
26650,105140,179150,172020,136000,135925,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
26675,104105,183705,175945,138675,142700,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
26700,107050,177205,177555,141805,142225,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
26725,108445,175400,177355,145265,149635,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
26750,108405,180185,181670,150050,145075,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
26775,110800,178790,177125,150680,149635,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
26800,112485,175615,175480,145360,154750,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
26825,112530,171535,175850,141830,150915,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
26850,111180,170240,173830,137265,150460,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
26875,112525,175340,178805,140020,146715,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
26900,110590,175155,169310,141370,145510,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
26925,107620,173750,166160,145955,147240,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
26950,109210,176060,167680,148560,149630,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
26975,110580,181925,167625,153000,135670,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27000,112155,184635,171375,157425,132750,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27025,110820,172860,168070,157505,132120,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27050,112115,174240,166355,160980,133185,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27075,114985,176310,171365,163205,137045,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27100,115330,184295,174340,166055,131650,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27125,117145,184035,170005,167085,133560,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27150,118705,184405,173975,164295,131690,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27175,114240,183800,174590,166425,134365,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27200,112580,187465,170180,173835,130850,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27225,114415,188920,162205,176270,136335,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27250,115760,192100,164165,176305,139715,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27275,117925,194825,166535,178095,137765,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27300,117930,194825,167265,178845,134165,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27325,117340,200810,170690,181255,134150,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27350,120695,208930,174045,173515,136785,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27375,119435,203245,173180,176110,140940,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27400,119975,210200,180915,180325,142270,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27425,120505,218320,187745,180635,142990,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27450,122590,210960,175830,180815,148235,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27475,120840,215530,178930,171430,150195,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27500,122620,212920,177240,164530,146120,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27525,123790,204630,171995,164685,148680,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27550,121160,209610,179765,166155,148570,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27575,123650,214070,182490,165530,148805,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27600,124090,211875,181800,170925,145125,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27625,124450,221145,183850,168835,151740,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27650,121185,216760,178675,169775,151910,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27675,124890,218170,170860,163295,155010,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27700,127265,222125,175980,166415,156350,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27725,126560,222245,177415,165460,160150,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
27750,125375,219360,179705,162395,165760,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
