step,FTSC,SDQN Compressed Obs,SDQN Uncompressed Obs,CDQN Compressed Obs,CDQN Uncompressed Obs,,,89.58333333,516,87.5,504,89.93055556,518,91.66666667,528
24350,45076815.13,45432871.54,44881061.44,47662344.82,48490009.44,,,,TRUE,,FALSE,,TRUE,,TRUE
24375,44419079.63,47465001.17,44321029.38,46561731.79,45687186.76,,,,TRUE,,FALSE,,TRUE,,TRUE
24400,44298564.65,47377055.61,45943538.18,47858854.98,46891449.54,,,,TRUE,,TRUE,,TRUE,,TRUE
24425,43459566.41,45491446.77,45336628.72,47385670.42,45779857.22,,,,TRUE,,TRUE,,TRUE,,TRUE
24450,44364458.07,44345651.12,45921346.58,47010608.31,45681687.09,,,,FALSE,,TRUE,,TRUE,,TRUE
24475,45263477.88,45121620.85,45783013.16,45955460.9,45919067.05,,,,FALSE,,TRUE,,TRUE,,TRUE
24500,44688107.65,47328811.82,46501300.8,47267416.96,44781430.83,,,,TRUE,,TRUE,,TRUE,,TRUE
24525,43937772.36,47050393.12,46856285.96,46398365.21,46361704.07,,,,TRUE,,TRUE,,TRUE,,TRUE
24550,44318344.36,46428303.99,47121927.98,46314281.3,46527359.73,,,,TRUE,,TRUE,,TRUE,,TRUE
24575,45158935.05,46580397.2,47220465.5,47434229.55,44765582.38,,,,TRUE,,TRUE,,TRUE,,FALSE
24600,43080968.78,46715174.41,48127129.41,47307946.98,45842739.09,,,,TRUE,,TRUE,,TRUE,,TRUE
24625,45317091.7,46369549.72,48292560.97,46332494.18,45590420.63,,,,TRUE,,TRUE,,TRUE,,TRUE
24650,45132333.04,47366437.98,47336502.42,46130507.14,47101699.12,,,,TRUE,,TRUE,,TRUE,,TRUE
24675,45112898.73,48584468.19,45779190.68,46423047.43,46546365.17,,,,TRUE,,TRUE,,TRUE,,TRUE
24700,44267913.83,45331451.31,46153286.73,48551816.5,45203459.07,,,,TRUE,,TRUE,,TRUE,,TRUE
24725,42890287.9,46995334.67,47140799.67,46715410.11,45169600.53,,,,TRUE,,TRUE,,TRUE,,TRUE
24750,43831701.65,44089020.12,45585591.44,48046873.12,45042522.21,,,,TRUE,,TRUE,,TRUE,,TRUE
24775,43911934.88,46439794.83,45419175.52,46258429.53,46096202.08,,,,TRUE,,TRUE,,TRUE,,TRUE
24800,44431939.9,47890260.04,45508555.44,45511113.82,46693224.9,,,,TRUE,,TRUE,,TRUE,,TRUE
24825,45352914.48,46732105.36,47395419.45,46258784.96,46919297.38,,,,TRUE,,TRUE,,TRUE,,TRUE
24850,45307893.46,47849933.34,46173311.96,47079736.89,46983422.55,,,,TRUE,,TRUE,,TRUE,,TRUE
24875,43821750.1,45257671.72,45852969.09,46117606.6,46102764.97,,,,TRUE,,TRUE,,TRUE,,TRUE
24900,45269135.03,45692759.12,46842595.94,47458038.39,46736379.55,,,,TRUE,,TRUE,,TRUE,,TRUE
24925,46266420.95,48085997,47290454.55,46504157.32,46681430.22,,,,TRUE,,TRUE,,TRUE,,TRUE
24950,46470286,47783185.22,46645210.19,47707913.04,47145753.42,,,,TRUE,,TRUE,,TRUE,,TRUE
24975,44344292.64,47320021.5,45685914.88,47612916.31,46409624.39,,,,TRUE,,TRUE,,TRUE,,TRUE
25000,44523671.3,47283178.71,46181198.26,47249371.19,45279434.29,,,,TRUE,,TRUE,,TRUE,,TRUE
25025,46285544.57,45925317.63,46746726.72,45250329.39,46551083.72,,,,FALSE,,TRUE,,FALSE,,TRUE
25050,45712817.87,47398181.63,46639813,46257326.94,49065374.04,,,,TRUE,,TRUE,,TRUE,,TRUE
25075,44811349.73,46948539.8,47424204.31,48117963.12,46251961.22,,,,TRUE,,TRUE,,TRUE,,TRUE
25100,46973649.05,46956226.56,46208170.7,46612642,47896872.82,,,,FALSE,,FALSE,,FALSE,,TRUE
25125,46128692.82,49820468.5,47355882.88,46754459.73,47843025.71,,,,TRUE,,TRUE,,TRUE,,TRUE
25150,46808947.44,49358790.92,49561957.06,48504756.19,48352859.32,,,,TRUE,,TRUE,,TRUE,,TRUE
25175,45531346.41,46587816.82,48861730.16,48692025.1,46375985.17,,,,TRUE,,TRUE,,TRUE,,TRUE
25200,46136851.75,47356054.45,46825053.82,48225228.2,48052784.06,,,,TRUE,,TRUE,,TRUE,,TRUE
25225,46461063.17,47075775.41,47060426.62,49443528.62,48249297.78,,,,TRUE,,TRUE,,TRUE,,TRUE
25250,46147009.83,47405529.42,48485896.12,50588349.59,48351751.01,,,,TRUE,,TRUE,,TRUE,,TRUE
25275,48573151.92,49939931.16,49355739.46,50440462.11,48690804.69,,,,TRUE,,TRUE,,TRUE,,TRUE
25300,47377450.01,49585230.83,51593810.45,50156970.93,50756881.61,,,,TRUE,,TRUE,,TRUE,,TRUE
25325,48473839.92,51493541.73,51092182.15,49848360.35,50135034.48,,,,TRUE,,TRUE,,TRUE,,TRUE
